class,tweet
0, i remember his nephew lucas crying and dan saying quit being such a pussy and grow a pair or something 128514128557 dans so funny
1, yep texas is redneck heaven
1, haha yuhh that hoe was funny
1,
1,
1,
1, shut up bitch
1, suck a dick hoe
1, youre gay bitch
1,
1,
1, bitch you beat after losing twice lol and we won 11 you just a hater
1, bitch answer me lol
1, bitch you cant even say no lol
1, lmao youre a bitch boy
1, lol thanks bitch hahah vegas aint ready for us lol
1, shut up bitch
1, that dont mean youre not balling lol shut up hoe lol
1, that means youre balling if youre jewish lol i dont love hoes lol
1, youre a bitch lol
2, no song ive heard was good is what i mean by hes trash
1, please tell those fuming cops that they are a bunch of coward little bitches and should not be allowed near weapons thanks
1, theyre both big bitches tho lol
0, good leave you stupid faggot
0,
1,
1, 128528 who did you rob them hoes like 4 online
1,
1, i say it all the time same with fag and queer its all about the context i suppose some people are just looking to get offended
1, the fact this bird ass nigga took my phone and did a light skin pose in school smh lol 
1,
1, feels like its been a year since i seen ya queer lolol
1, nooo ambers supposed to kill me fag
2, did you say spray tan charlie crist switches back to republican
1, dont let idiots that cant even spell retarded get you down
1, awwe i love you too jenny your so damn perf amp not ugly seriously dis bitch must be blind
2, its also a bird a city and a math theorem i make no assumptions
1, i can trap anywhere i wanna just because i aint a bitch n in rarely solo
1, go on craigslist bitches be on there 128514128514
1, my luck the bitch gonna drug me an i wont even kno what happened lmao
1, she can suck dick tho thats better than brownies
1, ur avi prolly shoot dust out your phone cuz that shit so old u cat fishing the bitches on here lmao
1, youre a bitch
1, i cant be homeless in 2014 but them bitches better not slip in 2015
1, bitch i might be
1, bitch you just an inch taller than me 128079128079 amp we normal height jessyca and daysi are just some sho bitches 128514
0, lmao madonnas music sucks yeah youre fucking stupid if you think gaga is better retard
1,
1, lt i hates to interject but cans i have yo digits i likes wiggers dat wanna be fucked by coloreds
0,
1, are you a race traitor or just a dumbass
1, hey jim youll love this httpwwwwwtddcom201005gaboureysidibeisacompletebitch
1, just like fat chicks need love too i guess some jeffrey dommer type would be all over that sloppy ho
0, and how am i assume shit hmm cuz u dont know what fuck u talking about crackers these days
2,
1, no homo bro love ya to lets get some 151 an some malibu rum tech 9 this bitch haha
1, an just dont be a hoe about it haha
1, bitch you old ass mushroom ass bitch looking like a moldy ass toe wobbly raggedy ass vagina face bye 
1, youre such a bitch carlton youre lucky your fathers a judge
1, you need to inse a chill pill up your ass twice a day until your bitch assness goes away if the problem persists see a doctor
1, is such a retard 8220 biden calls himself 8216white boy8217 in meeting with black pastors 
0, i guess blaspheme to your allah is ok if your pos muzzie huh 
0, sit down and stfu raghead 
1,
1, but that bitch could care less about benghazi victims
1, dog government jobs is the shit i done got my last few off that bitch
0, sweet comeback u fuckin herb i dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from nyc fag
1, youre such a pussy
1, is big cat a fat pussy joke
1, go eat bear shit you fuckin yokel
1, dont talk to your hoe that way
1,
2, trash aint it
2, like their players really been talking trash about bama
1, you sound like youre pussy whooped freelikeabird
1, youre a sensitive pussy whooped no sense of humor neo zoom maxi dweeb now sit your ass all the way down
2, no good options left indeed this president makes jimmy caer look like a piker so sad
1, true but then again im my opinion a hoe is someone who goes and sleeps with everybody
2, hes definitely trash but if bill cohwer or stanford s head coach want the job id hire them with a new gm of course
1,
1, he talkin bout we wanna be human and im just like bitch whet
1, im a lil nigga wait till you see nigga you aint ready im from chicago boy i aint no pussy from the burbs just wait
1,
2, thuggery cheating talking trash whos doing that besides jameis and isnt nd in the middle of cheating issues
2, i didnt really have one was aware of yankees but always loved dodgers uniform
2, yep sobs i got my hopes up when a couple of the national guys including that kipermcshay mock had him slipping
1, you wouldnt last a day there hoe
1, she playin pussy hole bingo she drawing the next number
0, damn took this dumb spic nearly 2 days to respond wuz really good tho beaner
0, shut yo beaner ass up spic and hop your faggot ass back across the border little nigga go listen to some pitbull
2, it always looks so nice i was gonna buy this yellow one
1,
1,
1, i know bout yo wack ass dreads nigger
1,
1, kik is for hoesyou either gone shit or get off the pot
1, aint no love 4 these hoes
1, shit he prolly is other than that everybody else trash
1, cowboys fans are cunts stop the presses
1, are we still talking about animals i know some asian folks that would love to see how you prepare your pussy before eating it
1, im not a bitch take it back
1, i totally think the something when bitches come across mine saying we are similar uh no 9995
1, bitch merry christmas
1, amen little mama y does this old southern country bitch like you so much i dont know but i do
1, block or mute the cunt
2, elissa would call me trash vile etc
2, get a can of wasp spray it shoots out 20 feet and cheaper than bear spay or mace works just as good
1, or a southern bitch like me who will blow a persons hea out of their back wone shot
1, thank god im just an old redneck bitch from memphis tn and not a troll
0,
1, jus exsposin hoes on a whole different level 128557128514
1, i want someim so damn tired of being in the fucking kitchen a bitch is hot and needs a glass of wine and a back rub
1, bitch wake up
1, gross ill stick with my galaxy it will still receive those nips
1, not nappy head hoe though 128514128514
1, if he wants bitches tip toein on his marble floors he will 128521
1, aint nobody asked yo faggot ass for a comment i know you peeped already you gay thats what u do for a living
2,
1,
1, big titty bitch lmao fuck it good pay
1, where the fuck were you this summer bitch
1,
1, dnt use my shit against me hoe
1,
1,
2, lmao it bel ike that nowadays
1,
1, we need more opinionated bitches moar
1, shut the fuck up faggot ass knicks cock sucker your opinion is irrelevant fag
1, teabaggers are extremely dumb
1, drinking away this stress you got some new hoes for us
1, pretty sure you meant flight and not flite dumb ass cracker
1, i didnt know you was following me hoe 128514
2, oh but those last few that did charlie wilma jeanne
1, politics isnt twitter coon lol
1, choke on something hoe
1,
1, fuck off my pussy boi bitch
1, me bitch im tryna keep a clean track record the fuck bruh
1, we dont love these hoes
0, is an evil hate whitey racist who thinks delbe belton deserved it 
1, idk is shes actually from there lol we followed a band but we met a few bainbridgians this bitch had like 4 teeth i swear lol
1, 128514128514128514128514 im joked out bitch you stupid
1,
1, tf bitch you had brain surgery and aint tell me
1, make that llama your bitch
1,
1, lets get a group together amp do something negro im home
0,
1, its funny how this page quoted my tweet about the term camel jockey bc i am a fucking arab you dumbass 128529
1, thanks kass i respect you not you annie youre a bitch
2, i staing laughing worked outnot bc i think its funny that you work throws phone in trash over butchered subtweet
1,
1, ily hoe cheer up pretti
1, lol tell that hoe grow up ahaha
1,
1,
1,
2,
1, dont get it twisted said aint playin ny state of mind when bitches is around clicks link
1, i woulda jus told skylar one night hey i got a flight in the morninyou wit it or nah while textin my brazilian bitch
1, lol this is why u my nig
1, he jus need to go to brazil get himself a bad brazilian bitch and jus relax
1, if yo girl let them in she a hoeshe belong to the world why u cuffing her
1, why is he stressin himself this nig can be livin lik meech before he went to prison
1,
1, bitch your yuck
0, gotta love it when the islamofascist cow tries to make a reto about age typical muzzie idiocy
1, im on that hoe now
1, lmaooo hell naw nigga you must was playing school of blind and cripple
2, i feel the same way about the bigotry and racism of using the word redskins
1, shut up bitch it ainn complete witout money melle n it
2, yellow shi hat turnt to da side
2, along with the french blue and buggs bunny viis and the oreo ivs 
1, please acknowledge my existence you amazing son of a bitch
2,
1, see bitch this is why you have no friends
1, look here bitch if i wanted to be gramatically correct i would have
1, im talking about the pucture of the pussy cat you nit twit
1, him as well they like their fried chickenesp the spear chuckers
2, he now resides on the mantle piece
2, ceainlt not the paddies
2, man city and the yankees have got together to form the 20th mls clubthey begin playing in 2015
1, mrcoxthe chase me charlie of his daybend over boywhile i conjugate your ae
2, not taking franks advice and he ate the yellow snow
1, that twat barry hearneit would seem to be all about there was no option for teams to share the venue
2, the spear chuckers are flooding into upton park
2, yankees beat then in the grapefruit league the other day
2, yankees playing tonight in the bronx3rd game of the current series against the diamondbacks
2, you rememberit used to be funny coloured paper
0, nahh whatever you are spook or spic i still dont like you good day
1, bitches aint shit but hoes with tricks
1,
1, you cant call someone a fag if youre snuggling up with guys
0, so if your 17 and in high school you dont have your own house you fucking faggot
1,
1, the stupidest bitch brb crying he called me stupid
1, ohh mr im all tough cause i live in a retarded city thinks hes cool people like you should be shoveling my snow broke bum
1, apply to thunder valley bitch
1, look here im a thirsty ass bummy ass bitch ass 17 year old niqqa amp i jus wanted to know if i can get a follow back please
1, when bet now i make sure that bitch is not involved thats 1 thing floyd and pac can agree on she screwed em both
2, i like him but i really doubt he even plays we already got a lot in the big man rotation committed to bosh bird mcbob amp shawne
1, finished the essay and the quiz bitch
1, ok i just wanted to know bitch at 520 if youre not here im out
0, because ians retarded
1, lol nigga them look like a combo of trash in your house amp trash at the dump
1, on god niggaa be tryna say aids been out longer and shit like no bitch ebola been out here 128514
1, the bad bitch with them ugly ass nikes
1, lol im not you just cant be sad about things you cant control but when you walk that stage my nigglet ill be happy 
1, lmaoo 128514128149i think i want this bitch ya me tiene cansada but thanks 128536wait hold up who u fighting 128563
1, u stupid fuk head bitch
1, and the plastic surgery of a tranny
1, quit being a baby hit that patchouli pussy
1, so shes retarded
1, i think i did my job here toodles to you bitches 999665039
1, speaking of little bitch you didnt even do all your squats you little bitch kept talking to distract everyone else 128530 128587128064128073128590 icu
2,
1, if i can get this bitch to go gtgt 
1, bitch you know the lingo hoe lol
1, lol toughen up pussy
1,
1, we gotta find this hoe
2,
1, boi stop aint no hoes in the 11th wardnever have been either thats why nobody knew where our hood wasaint no hoes
0, i got a dyke wit a child as whse mgr and she jus hired another girlboy dis week
1, is such a hoe wear your shoes ya big bitch you missed the couch shot ray allen bailed you out pussy
1,
1, that shit chunky lol
2,
1, psh if a sexy bitch gotta sexy voice she can easily get shit goin
1,
1, stop being a pussy
1, ha ha look what this fag said lol
0, u pulledthat queer shit as spon as u put no homo lol
1, yep lmao its been a hectic few weeks waddup ho
2,
1, hahahh thank you fag boy represent
1, exactly so tweet some other shit fuck all that dont be like everybody this aint monkey see monkey do koiya
1, inch that bitch out and flick it wit my tongue like a damn pinada
1, dont pay dem bitches and they diy ass chucks no mind bro
1, we gotta get like 20 heads to go everyone brings tree some bring food bitches and liquor of course
2, homemade angel food yellow cake with halfinch chocolate frosting devils food to die for pecan pie
2, i was gone once dog ran a coon up the transformer pole she picked it off with one shotand still had electricity
1, is having a bihday so make sure you tell that bitch be happy 128526128522 127881 amp celebrate without drugs 128683
2, why were there penguins and a bird in the puppy bowl
1, lol damn just thought id let you know my dad was going super saiyan ape shit
1, nooo i amlmfao and dont bitch me ya bitch
2, i volunteer to be guinea pig and help test it out 128527128587
1,
0, i have never seen such ignorant illiterate pieces of shit in my life bring in natl guard amp disperse this trash 
2, well pee is oft yellow
1, says the scrawny nigger
1,
1, haha alright well you gotta get here and see this bitch haha youll scare the shit outta him i already have
1, haha no but i was ready to slap that bitch again he came walkin in my room to say hi while i was playin saints in my underwear _
1,
1,
1, all bitches all day all the time
0, fucking losers wetbacks sorrynotsorry
1, my ass just wont be on that hoe
2, so you about to purpose to charlie
1, im a diy ass nigga with a clean dick fucked a bitch in her ass then she sucked my dick omg lil b we arent ready
2, her face ugly to me amp her nudes were trash
1, this hoe 128293128293
2, 128514128514 my fault it sound like it fucc nicca
1, what you say bitch selfiesonselfies 
1, bare it bitch see what i did there
1, keep them around so new bitches know they could be the next ex if they dont stay in line
1, were talking about fucking you right in the pussy
1,
1,
1, no woman deserves to be sole stomped like that he is a bitch and so is everyone watching doing nada
2, statement of the day ppl who are even dumber than he is the ole birds of a feather type of deal
2, our disco we used for disaster recovery was an awesome brownie points to how well built they are most extreme conditions
2,
1, you sick bitch didnt even invite me
1, shut up bitch
1, niggahs be like im draggn my nutts in 2 degree weather out tgere frozed like a bitch
1, so your a dumb bitch
1, ur so anal stfu for once u bitch
1, basically we aint got room for basic bitches
1, ha she got them bitches worked on
1, bitch i know you seen me tweet bout you
1,
1, bitch who is you
1, 128514128514128514128128128128 alright nah bitch you want play on twitter
1, amp you got cancer hoe
1, bitch you didnt feed me you asked my to buy you a burger 128514128514128128
1,
1, bitch thats why im bouta go to waffle
1, bitch you not coming 
0, now we have a ebloa case in texas if we kill all the niggers we might be safe
1, i read that in his voice like a hoe128514
1, fml both or half breed ex at the gym ugh
1,
0, idk you into mouthy spics on welfare with 6 kids and 3 baby daddys
2, your a big yute to be having slits in your brows my darg lol drop it out
1, haha noo bitch now 128071 stop playing games hoe 128517128514
2, and the yankees gave you a win happy bihday
1, im jst fckn w you128514 ive always wanted to jigg hella good too we jst not wild enough to be in the circle cuz128557
0, i dont bend that way queer thanks for the offer its flattering
0,
1, ratchet white trash
1, some white bitch on facebook lol
1, get a real hair cut faggot i served my country in the marines for 8 years what have u done
1, ur a fucking half breed dog stop acting
1, yall playful dont come dumb hoes
2, ive only like about 3 pairtheyre overpriced trash 
2,
1, booty wop sided as hell
2, two birds with one stone biggs
1,
2, hey teabagger the benghazi thing is a joke 13 benghazis under bush no hearings more on benghazi than real 911 attack
1, they bout to try and hoe you next
1, what are you doing up right now tavares kickin my bitch to curb for being too dramatic again
1, reason for why he only rap about pussy what am i supposed to talk about smh how bout you make music that aint negative
0,
1, im apparently the good luck chuck of bitches 
1, yall both trash
2, i want some clams on the half shell 
2,
1, heres my opinion on the matter shes a cunt
1, well wouldnt coast you that much but i dont see you going bass fishing with a bunch of rich rednecks either
1,
1, nigga caping for the bitch like we havent all seen her nudes already what does he want tf
1,
1, she doin homework you jiggaboo let her be
1, nigga what 115 without a warm up and you traveled like a bitch
1, stick to the cou hoe
1, bitch follow me
1, i hope so the bitch was annoying i think she thought she was sma or something
1, lol that was a cyber bitch slap for sure
1, ltlt whered you go big mouth bitch busy choking on that cock i told you to find
2, dont trash jerseyodds areyou wouldnt last 10 minutes around here go back to watching barney
2, bwahaaaa i just choked on an oreo cookie im figuring this may have something to do with it 
1, breeding a nation of pussies now how the hell is a man a manif hes a pussy im concerned we have pussies amp psychos
1, yeah i seen you tweet about bitch amp block i used itit fits
1, yeahi try not to follow them zulu looking bitches muslims flat out no way i use my sheets on my bed not my head
1, lol its an acronym for that hoe over there
2, its retarded ignore the harlem shake fad and hope it goes away soon
1, so everybody knw i misspell shit 128514 ion proof read shit let ah bitch call me dumb ima back dey ass up 128526
0, yeah me too my people the women laff at the set apa men they love the real niggas or niggers
1, but bitch nobody was wanting your ass u assumed that cuz u let dogs run up in yo filth amp u think i want some of itnot
0, they have mix not all are retards aap is maoists terroristscongies and delusional retards
1, but s he got a pussy now which makes him a her and shes bad so
1,
1, stfu nigguh ive been reading the manga for the longest and you know that
1, poor poor parker has nothingwithout aaryn 2 bitch about no 1 would even know he was around a looser
1,
2, 128514128514128514 a box full of yellow crayons
1,
0, hey aklve im taking out the black ghetto trash youre blocked nigger
1, i thought you was talm bout the school wifi i was gon say all you had to do was ask a bitch 128514128557
1, man yall niggas chill man im high af tho yall niggas aint even tell me who the hoe is 1285649995
2, what did i prove for you that youre blissfully ignorant group thinker political chump and race traitor
2, yellow bone be oh so easy wit da name callin b
1,
1,
1, omg my mom did it on christmas once if i hadnt been the hostess that year i wouldve slit her throat
1, you and should name a group called mob moaning old bitches
1, shut the fuck up you cry baby all you do is bitch and whine about life shits retarded
1, uh oh its 911 what you gonna preach and cry about today faggot
1,
2,
2,
1, fake niggah they fake
1,
1, doesnt wife these bitches 
2, but seriously its the only reason i use a mega whatsoever pure favoritism also those sweet fuzzy wings
1, he seems like a weak faggot so probably yea
1, i almost have enough rank to buy some stuff from the purple bitch what should i buy from the exotic guy
1, buck beaners amp security staed pushing him amp that jetsgreen faggot around
1,
2, lol i already made it im waiting on my brownies to finish 128526
1, nigga yes you do take me on a ride in that bitch pleaseee
1, free world bitch
1, rams are for fags
1, you dont want to battle you shook cause aint no such things as half way crooks bitch
1, youre still a free world bitch dont deserve your 313 area code 
1, yeah i like them too but im not annoying ass bitch about it suppo them but dont bitch
1, im gonna tell my friend not to buy your scuf now dumb chink frail pussy
1,
1, this shit sorry than a hoe
2, its supposed to be grey with speckled blue midsole and the soles are more yellow than icy so pass
2, i dont suck tho youre just mad because youre trash and i carried you you always had 0 points
1, the witches took them hoe
1, nvm thought we were talking fifa sorry matt youre not trash at zombies
1, its got good mojo for sure paybacks a bitch
2, youre saying zebras are goth
1,
2, im not trying to be critical but jr literally looks like he just ate a pot brownie got off a couch and put on his gloves
1, miss you ya fucker send me a txt every now and again like ya used to all ill do the same ya twat p
1, yes touch my bitch get ya shit knocked
1, lucky as bitch ft juicy j
2, i hope you get better soon colds are for the birds
1, u aint bout it wop
1, stop calling her a bitch crystal voice
1, yes bitch 128528128514
1, what kind of hoe are you dressing up as
2, 128514 welcome back b without your daily rants my tl was trash af
1,
2, be my guest i want to be a bird i think
1, like the cure time when u shut da fuck up from gettin in other folks bizness like a lil bitch
1, we block us then and see what happens you think we on ya high yellow ass now just watch
0, to was a faggot crybaby
1,
1, bitch fuck you get out my mentions malzeno
1, would be funnier if america and not pussy canada
1, i smiled first and then you mugged so of course ima mugg back cant bitch out lol
1, thank you for proving my bitch ass wrong tonight
1,
1,
1, am not down with gay shit u better ask my bitch
1, bitch you can get to
1, bring yo bitch ass whith em jump in want to and get yo ass beat up
1,
1, stop looking porn fag
1, bitch i told you to hit me when you got back
1, cuz bitches love cheesy
0,
1, stop being bitchy bitch
2,
1, ha the shyt niggas tell hoes 2 ho wanna be more
1, follow me bitch lol u too good to follow back ha ha
2, cant the yankees make some last weeks moves
0, anything to trash this black president
1, just got his pussy kicked hes out done wins per fox news election2014 tcot gop teapay p2
1, in many areas has that look but need to see bean countsaid it before beans are a bitchtend to do what you dont expect
1, was like had some gas cause i hit that bitch one time and ended up talkin shit all night bitch was fried 128514
1, i am brown while you are black and ignorant your stupidity makes me sick typical thug looking nigger
1, thats why the hoes love herthey can relate to being lonely amp depressed lol
1, its s favorite fucking jam i havent seen it but judging by there being a little girl in it its probably trash
1, you tryna say im a pussy of course im tryna slam i aint no pussy duuuuuuu
1,
2, you mean the one i colored with crayons isnt copacetic
0, you know what you did you faggot there are literally thousands of people that have you on their radar homo
2, his do not until playoffs but luckily this means that any future kid will definitely root for the yanks priorities
0,
1, nah its bc im a bad bitch
1,
1,
1, here its a wtf dude are you fucking retarded
1,
1, your a diy cunt mate lol missingtheaussies
1, if it were close than we could bitch but that was going on 10 to zip on scorecards rightful mercy stoppage
1,
1, suck my dick you cunts
1,
0,
2, the grass is greener on the other side of the fence of course its also a soggy septic field
2, the yankees of football was the funniest pa of your latest video sincerely all of pittsburgh
2, reason 2 i didnt order a shi taffy will know where i live and he would probably find me and stab me
2, means trash lol
1, ayyy tell that bitch in your avi she needs fix a flat for dat flat ass128527
0, shut your legs hoe
2, interested just wanted to see a better pic of the soles
1, bitch fuck you you cut off until i get my snacks from fat boys 
1, bitch stop harassing me
1, you killed that hoe
1, bitch im always out
1, damn makin bitches jealous in reality amp twitterfacebook prolly mad bc if her pic was posted it wouldnt be taken as a joke 128514
1, my fuckin mom is a bitch like she aint even payin for it dylan is and he said its fine
1, u really got these coons out here dreaming
1, how is it fucked up you fucking retard condemning ray rice yet suppoing chris brown whos a women abuser thats logical
1, lovin all the pussy pics
0, shit your ass and shabbat your moms pussy u jew bastard ur times coming heil hitler
2, i thought i was the ghetto word for babe
1,
1,
1, bitch look homeless and u say meth not weed ur a fucking discrimination to american but enough of the bull shit what up fuk boy
1,
1,
1, only if youre a twat as well be not a twat my son
1, dis bitch gots spunk
1,
1, its the truth we dont love these hoes 128581
1, up your ass you little twat
1, who is this we i dont love hoes
2, thank you again mick
1,
1,
2, u look like that fat kid on charlie walker the that got stuck it the chocolate tube
1, wigga why the fuck r u in this conversation with yo stalking ass
1, bitch i dont want yo fat ass following me hoe
1, bitch am dumb bitch am smaer than yo fat peter griffin looking ass
1, bitch when r u going to get ur round i just fucking said this just proving my point
1, bitches like u be proving my point u speak on shit u know nothing about i got a fucking at studio movie grill just stfu
1, now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry
1, u calling me a pussy but u not bout shit fuck all this talking lets pop shit off then
1, wow your fucking lame we all laughing at ya hey fat ass u want twinkie and what u said made no sense go eat or something
1, lmao im bein foreal fuck all them bitches like that
2, have her learn the first 30 seconds of flesh and the power it holds death that riff would be cool for a bird to do lol
1, really telling me to call him boo uhhh naw 128581 you the niggah amp thats that 128540
1, i dont fw that nigga he pussy
1, well i for damn sure aint putting on no pussy ass romo jersey
1, all i heard was im a bitch nigga
1, youre such a bitch
2, would be perfect wa graham cracker flavored bun or a maple dougnut bar
1, my phone was dead fag man
2, oh me too pain meds just made my brain fuzzy and though banjo kazooie for a sec
1, happy bihday i hope the bitches got you something good
1, sequester den the fat colored girl chased me down day street while she swingin da table wit one arm i wants my pay
1, so is my pussy
1, touch my throbbing pussy
2, all that trash talk and we win championships youre boring me dude nationalchamps
1, haha 1 i would go for the s 2 those fag colors are reserved for 
0, shut up coon
1, has transformed to a bad bitch she can get the d
1, i want to suck your pussy
1, slap a bitch
1, thats what happens when you have pussies for presidents and generals you have to fight the same war over and over again
2, thanks for the follow guys im enjoying a cold yellow belly right now
0, i dont follow you because everything about your company is white trash
0, you really seem to love sandusky weirdo ur a creepy ass cracker
0, stop trolling me u creepy ass cracker
2,
1,
2, your mind is free and your soul satan will present to u in his kingdom the things that mock u stay strong in yahshua
2, hello dare momma i show glad dat u follow me u lbe screamin hot in dem pitchers you eva b wit colored men
0, she be what we say in da hood white trash
0, y8217all whitey gots to pay fo da preparations
1, my mfn bihday pink champaign in dat bitch
1, it sucks rachels sister is such a snobby bitch n rach is so nicecant stand elissa so snutty
1, sup nappy headed hoe you got quiet
2, stas making monkey faces behind you
2, that pic with the red bone in braids and that tiger in the back for sale
2, teabaggers weakening food and environmental regulations is infinitely more scary and lethal than terrorism
2, looking at the royals and wondering what could have been if we didnt decimate the yankee farm system
1, shut up you nappy headed hoe
1, happy bihday bitch1008465039127881
1, spiked that bitch damned nailed her down
2,
1, that area is a bitch regardless so i can imagine
1,
2, sheeze a yellow bone
1, what that pussy do tho
1, lol ive gotten into with retards on here who actually think i am my avi _ ive gotten called ugly black bitch like
1, it is we be thugging on these bitches too hard now days
1, bitches crazy 128553128514
1,
1, fine walk bitch
1,
0, i wasnt serious bitch 128514 bitch them niggas i named aint fuccing witcho ass 128514128557 we all just making shit up 128527128553
1, bitch ion talk to 3 128514128557 shit ion even talk to 1 can you even name 1 lol
1, lakers are trash
0, i swear to god nigger you better still hang with me before work you got my hype
0,
1, hahaha awe yea got a date with the baddest bitch around 1280681282991281761280761008465039
1, i got tits as big as a hoe so it evens out
1, bitch you said you dont even like trae fuckin poser
1, hes a little bitch in general fug seattle
1, ohhhhhh i smell a challenge usa vs usa next time i see ya bitch ass
1, peace my negro 
1, unfounately you are correct sir still eat shit and die though bitch 
1, should have fucked that bitch up
2, if nbc has elected you to be a spokesman for nbc they are in a lot of trouble i and friends will no longer watch nbc trash 1
1, wonder how many us citizens have joined isis after listening to joe scarborough trash this black president good job joe
1, you bitch and complain about how bad our vets are being treated yet you are still willing to send them off to war sick idiot
1, thats a goddamn terrible joke you gbe lookin bitch
1, you already know they go to fed for me ah bitch be ready to walk out the door 128514128514999665039
1, you tink u done made a funny nigga come lookatathehoodgt i got nightclubs trannies crackheads dealers come at megt
2, as ingt nature biologygt dogs dont eat each other as much as birds do not everything is as it seems in human terms
1, text me bitch
2, im a proud wacko bird how bout you
1, squad builders gets you bitches
1,
1, bitch im proud to be black ur a samba
0, ugly gay nigga bitch fucking peace of shit
0, yall is coons n uncle toms
1, nigga i seen yo ass at da welfare center punk bitch aint woh my time
1, work is something adults do for money not borrow from money broke bitch
0, fuck you stupid ass coward ass punk bitch faggot ass racist piece of shit punk bitch aint woh my time
1, rape of course the only way you could get pussy smh
1, rich haha u broke bitch no women would ever fuck you lol
1, oh hell no fuck you uncle tom bitch i remember yo punk broke ass
1, naw them boys trash we staed coasting
1,
1, this pic is trash dck is dry af
1, dont be a bitch
1, i send them hoes because aint nobody gone play me but geez lmao not when they ask for them
1, ohh yaa he wants brooke to be his pinkie toe so he can bang it on the coffee table what a twat lol
2, 5 of us decided to drink everclear and go to a yankees game only two made it to their seat
1, i fucking hate you lmao but thank you little dick van dyke
2, when mary asked him about it said the pa you eat is whiteyou throw the yellow away
1, where your white hoes at bro lol
1, wake and bake before school hoe 
1,
1, yep them bitches are dumb afloyal but dumb lol
1, im so tipsy i just tried to relate hoes to mild sauce and make it relevant lol
1, i think i need to see said bitch in question
1, yeah what a bitch eh life sucks everyone should have the equal oppounity to lose their shi in divorce cou
2, wow i can put slit trophies against u in those
1, i swear i thought you were describing a pussy i gotta go to bed
1,
1, i dont know im hoeless so i dont know where they congregate
1,
1, some blockhead hoe she aint nothingboo
0, only one problem theres a no pussies allowed sorry 
1,
1,
1, mhm bitch dont play with your life 128299
1,
1,
1, bitch please dont get shot doug 
2, random thought if a bird crossing the path of a fg try were impacted by ball causing it to deflect off course rekick or miss
2, thirsty giants are always like ho ho ho
1, we were making those brownies at 4 am tired as a bitch under the circumstances theyre pretty good
1, ik he felt like a bad bitch take it down a notch dex
1, eahdaynoaa is da colored folk allowed to join cuz in my hood folk worried about da watermelon not growin and da chicken too small
1, try being respectful instead of acting like a fucking retard
0, lmao nigga shoulda said i would be balless bc dat cold bitch wont stop blowin meswaagg
2, yeahcause if anyone thinks this clown went to to buy oreos is as stupid as all of them look
2, ugh put one 420 dead center off him 
2,
1, dat dawg live betta den most colored folk in my hood
2, i be wishin you was local i takes you to da yankee game and spoil you
2, i gots to be bein colored and all
1, yeah man he even scare me and i is a nigger
2, you never survive in da colored hood
1, dat colored guy be braisin
0, hey fag i said this was your aunts he said it was you
2,
2, its perfection my brain crossed wires or something i dont know why i came up with concentrationmaybe the ghetto one
1, ware da colored elite meet to eat
1, thanks for calling me a fucking fag
1, that pup was like this bitch is awesome can i go home with you
1, you a lil bitch mankeep my name out to mouth thats all ima say shhh
1, he is a redneck fuck this turd cutter is the lyinest of liars and his district is made up of yhe same
1, you suck it commie bitch 
1, even this piss colored piece of shit bought a one smh i hate you now
1, you may not like my stance on cops but i didnt and would not call you a cunt please stop copying me on these tweets
1, thats like what some trailer trash chick would name their cat 
1, nah that shit gets me heated i have the smaest mouth and know what im doing and get called a retard im done playing games
2,
1, always down patty never been a pussy 128572
1, suck on my throbbing pussy
1, suck it up pussy
0, jews and white race traitors have to be swept clean so the aryan race can survive
1, im already a hot white bitch and hot latina get on my level
1, bitch me too
1, these bitches drippin sauce
1, which one bobby bitch or hot nigga
2, i feel that i see nothing wrong with the gta killing bc its not the sole purpose of the game
2, u still a mutt tho lol
2, y u not on the monkey bars too lol
1, im already out that bitch hahaha
1, im signing up and its ghetto as fuck lmaoo
1, i trusted you queer cakes wheres the passion she made me do it dammit
1, that kids a fag
1, oil who said sumthin bout oil bitch you cookin
2, sowhite people selling african a not cool okay blackish redskins doublestandard
1,
1, who the hell needs permission for anything from that fatassed ghetto whore
0,
1, fuck her right in the pussy
1, nigga i still pull tho and fuck you bitch u stfu
1, bitch who scarry am not backing down from no fuck nigga the fuck you talking bout hoe ass nigga stop dat talking and pull up
1, fuck what a nigga gonna do i wanna see it and tell that nigga to stop acting like a bitch then
1, bitch i hit you with the dm and a nigga aint dm back
2,
1, hahahaha move bitch get out the wayyyeee
1,
0, what did you search gay redneck episode 1 play
1, a bitch got 8 amp im trinna change 2 128514128557
1,
1,
1, bitch you hella late i went yesterday lol
2, nip im tryna buy a copy of crenshaw but your website is down let me know something
1, burnt tho jus like a nicca 128514128514
1, your such a bitch lol128564128564128564
1,
1, faggot ass fucking snitch
2, i cant wait for the day they take them be a boon for the entire nation
1, now kindly fuck off like you said you weretwice you sound like a little bitchbitching fuckin stalker
2, is so excited about his red velvet brownie
2, if they trash in yr 3 or 4 hell waive it lol
2, charlie brown a christmas story rudolph but only because of the island of misfit toys
1, i called him a pussy and got blocked real quick by him and bobby kelly i cant say i upset about it
1, no comparison the beatles are a bunch of cunts but the band that matters the most is the faces imo stones second
